T_DB (K),P (Pa),x_w (mol/mol),x_w_sat(mol/hmol),x_w_gas (mol/mol),h_gas (J/mol),s_gas (J/mol/K),v_gas (m3/mol),x_w_liq (mol/mol),h_liq (J/mol),s_liq (J/mol/K),v_liq (m3/mol),x_gas (mol/mol),RH,T_WB (K)
256.190551,197520.4232,0.11255603,0.000703421,0.000703421,-470.9966656,-7.309654286,0.01076608,1,0,0,0,0.888068657,1,256.190551
357.901523,154393.7931,0.12850675,0.374175908,0.12850675,8301.749747,23.44968368,0.019261922,1,6396.262188,20.38644728,1.86E-05,1,0.343439402,335.1009316
327.031672,76429.2861,0.15509567,0.196352992,0.15509567,8588.707542,30.28947463,0.03554868,1,4064.787285,13.57835227,1.83E-05,1,0.789881879,322.5701051
359.093668,183812.7678,0.12497402,0.329669003,0.12497402,8174.567921,21.60020085,0.016231992,1,6486.899531,20.63774644,1.86E-05,1,0.379089386,338.2151731
288.880611,135477.3431,0.08319423,0.013263684,0.013263684,1053.993778,1.422551814,0.017717986,1,1192.057565,4.234459691,1.80E-05,0.92912945,1,288.880611
255.057314,172856.5127,0.09743165,0.000721756,0.000721756,-501.0196548,-6.319758588,0.012249932,1,0,0,0,0.903220255,1,255.057314
289.873389,55318.9029,0.09662497,0.034521514,0.034521514,2047.620369,12.25693528,0.043554385,1,1265.570041,4.49349275,1.80E-05,0.935675981,1,289.873389
335.683519,63230.1178,0.16231758,0.355884457,0.16231758,9177.45679,33.64393045,0.04411461,1,4716.775762,15.54681762,1.83E-05,1,0.456096289,320.4316647
330.127427,175917.0501,0.15524632,0.099194215,0.099194215,6143.260826,15.83276664,0.015589174,1,4299.603791,14.28746372,1.83E-05,0.937775594,1,330.127427
325.619107,99640.8843,0.17897907,0.140725092,0.140725092,7893.311964,25.96884665,0.027146448,1,3958.713433,13.25199742,1.83E-05,0.955481095,1,325.619107
262.736452,197530.2438,0.00788378,0.001278564,0.001278564,-254.0430505,-6.470098417,0.011042823,1,0,0,0,0.993386328,1,262.736452
357.713462,183482.6891,0.1357968,0.312892417,0.1357968,8623.483413,23.0070713,0.016196508,1,6382.443434,20.34631498,1.86E-05,1,0.434004765,339.6030267
371.729012,180687.0957,0.02520007,0.537680638,0.02520007,4020.432946,8.274261748,0.017107083,1,7444.569985,23.25894622,1.88E-05,1,0.0468681,319.9127694
326.596926,61787.5748,0.06613275,0.237700969,0.06613275,4554.295282,19.50369898,0.043938876,1,4031.803932,13.47824672,1.83E-05,1,0.27821826,305.5844386
333.808664,125420.2875,0.19791021,0.165022948,0.165022948,9232.783521,28.12912604,0.022101548,1,4576.336862,15.12387097,1.83E-05,0.960612975,1,333.808664
315.280289,137109.4477,0.08698177,0.060638202,0.060638202,3965.863342,11.02156948,0.019107872,1,3180.621106,10.82153501,1.82E-05,0.971955887,1,315.280289
370.488199,175646.2741,0.15448204,0.528819524,0.15448204,9856.062111,27.01181738,0.017524365,1,7350.321565,23.00523643,1.88E-05,1,0.292126204,342.1298437
292.578492,134635.6779,0.12272329,0.016855447,0.016855447,1324.081251,2.411847285,0.018057664,1,1470.899306,5.193636042,1.80E-05,0.892317114,1,292.578492
360.893904,101696.4085,0.05955482,0.635983137,0.05955482,5265.985,17.34186216,0.029503275,1,6622.030361,21.01736479,1.86E-05,1,0.093642137,316.5399824
289.230545,68815.1014,0.07274338,0.026648436,0.026648436,1672.715299,9.181656819,0.034933052,1,1217.310197,4.325981264,1.80E-05,0.952643068,1,289.230545
314.708631,52574.6299,0.00197462,0.153085448,0.00197462,1303.452038,9.952897276,0.049763887,1,3136.234074,10.6854975,1.82E-05,1,0.012898809,282.5486636
